IdEstructuraDependencia,IdDependencia,IdEstructura,IsActive,IsModified,LastModifiedDate
1,1,100,1,1,20130510110600100
2,2,200,1,1,20130510110600100
3,2,300,1,1,20130510110600100
4,1,400,1,1,20130510110600100
5,1,500,1,1,20130510110600100
6,1,600,1,1,20130510110600100
7,2,700,1,1,20130510110600100
8,1,800,1,1,20130510110600100
9,2,800,1,1,20130510110600100
10,1,900,1,1,20130510110600100
11,2,1000,1,1,20130510110600100
12,2,1100,1,1,20130510110600100
13,1,1200,1,1,20130510110600100
14,1,1300,1,1,20130510110600100
15,1,1400,1,1,20130510110600100
16,1,1500,1,1,20130510110600100
17,1,1600,1,1,20130510110600100
18,1,1700,1,1,20130510110600100
19,1,1800,1,1,20130510110600100
20,1,1900,1,1,20130510110600100
21,1,1950,1,1,20130510110600100
22,2,2000,1,1,20130510110600100
23,2,2100,1,1,20130510110600100
24,2,2200,1,1,20130510110600100
25,1,2300,1,1,20130510110600100
26,1,2400,1,1,20130510110600100
